語,漢字・原文,備註,發音,中文意思
くらべる,比べる,,4,比較
グラム,gramme,フランス語,1,公克
グランド,ground/grand,,0,操場//偉大、宏大
クリーニング,cleaning,,"2,4",洗衣、洗淨
クリーム,cream,,2,(鮮)奶油、美容霜
くりかえす,繰り返す,,"0,3",反覆、重複
クリスマス,Christmas,,3,聖誕節
くる,来る,,1,來
くるう,狂う,,2,瘋狂
グループ,group,,2,團體
くるしい,苦しい,,3,痛苦的
くるしむ,苦しむ,,3,痛苦、苦惱
くるしめる,苦しめる,,4,使…痛苦
くるま,車,,0,汽車、車
くるむ,包む,,2,包、裹
くれ,暮れ,,0,歳末、季末、黃昏
グレー,gray,,2,灰色、灰暗
クレーン,crane,,2,起重機
くれぐれも,呉々も,,"2,3",誠懇的、衷心的
くれる,暮れる,,0,天黑、日落
くれる,呉れる,,0,給己方、給我
くろ,黒,,1,黑色
くろい,黒い,,2,黑色的、黑的
くろう,苦労,,1,辛苦
くろうと,玄人,,"1,2",行家
くろじ,黒字,,0,盈餘
くわえる,加える,,0,加上、添
くわえる,咥える,,0,叼、啣
くわしい,詳しい,,3,詳細的
くわわる,加わる,,0,增加、加入
くん,〜君,,,〜君、小〜
くん,訓,,0,訓（字義的解釋）
ぐん,軍,,1,軍隊
ぐん,郡,,1,郡（日本行政區）
ぐん,群,,1,群、伙
ぐんかん,軍艦,,0,軍艦
ぐんじ,軍事,,1,軍事
くんしゅ,君主,,1,君主(制)
ぐんしゅう,群集、群衆,,0,群眾、聚集
ぐんたい,軍隊,,1,軍隊
ぐんび,軍備,,1,軍備
ぐんぷく,軍服,,0,軍服
くんれん,訓練,,1,訓練
け,毛「髪の毛」,,0,毛、頭髪
け,毛「毛のセーター」,,0,毛(衣)
け,〜家,,,〜家族
げ,下,,1,劣等、次等
けい,計,,1,合計、計畫
けい,〜形、型,,,形、類型
けい,刑,,1,刑罰
けい,〜系,,,線索、派系
げい,芸,,1,藝術、技術
けいい,敬意,,1,敬意
けいい,経緯,,1,經緯度
けいえい,経営,,0,經營
けいか,経過,,0,經過
けいかい,警戒,,0,警戒
けいかい,軽快,,0,輕快
けいかく（する）,計画（する）,,0,計畫
けいかん,警官,,0,警官
けいき,景気,,0,景氣
けいき,契機,,1,轉機、機會
けいき,計器,,1,儀表、儀器
けいぐ,敬具,,"0,1",敬具、謹啟
けいげん,軽減,,0,減輕
けいけん（する）,経験（する）,,1,経験
けいこ,稽古,,1,練習
けいご,敬語,,0,敬語
けいこう,傾向,,0,傾向、趨勢
けいこうとう,蛍光灯,,0,螢光燈
けいこく,警告,,0,警告
けいさい,掲載,,0,登載
けいざい,経済,,1,經濟、節省
けいさつ,警察,,0,警察
けいさん,計算,,0,計算
けいじ,掲示,,0,揭曉、告示
けいじ,刑事,,1,刑事、刑事警察
けいしき,形式,,0,形式、樣式、手續
けいしゃ,傾斜,,0,傾斜、斜坡、斜度
げいじゅつ,芸術,,0,藝術
けいせい,形成,,0,形成
けいせい,形勢,,0,形勢、局勢
けいぞく,継続,,0,繼續、繼承
けいそつ,軽率,,0,輕率、草率
けいたい,形態,,0,形態、形狀、樣子
けいたい,携帯,,0,攜帶、手機
けいと,毛糸,,0,毛線
けいど,経度,,1,經度
けいとう,系統,,0,系統、血統、黨派、體系
げいのう,芸能,,0,技術、藝術、技能
けいば,競馬,,0,賽馬
けいばつ,刑罰,,1,刑罰
けいひ,経費,,1,經費、開支
けいび,警備,,1,警備、戒備
けいぶ,警部,,0,警部（日本警察的官階之一）
けいべつ,軽蔑,,0,蔑視、輕視
けいやく,契約,,0,合同、契約
けいゆ,経由,,"0,1",經由、經過、路過
けいようし,形容詞,,3,形容詞、い形容詞
けいようどうし,形容動詞,,5,形容動詞、な形容詞
けいれき,経歴,,0,經歷、履歷、閱歷
けいろ,経路,,1,通過的途徑、路徑、路線
ケーキ,cake,,1,蛋糕
ケース,case「場合・状況」,,1,個案、事例、場合
ケース,case「箱」,,1,箱、盒、包包
ゲーム,game,,1,遊戲
げか,外科,,0,外科
けが（する）,怪我（する）,,2,受傷、過失
けがらわしい,汚らわしい,,5,污穢的、討厭的
けがわ,毛皮,,0,毛皮、皮貨
げき,劇,,1,戲劇
げきじょう,劇場,,0,劇場、戲院
げきぞう,激増,,0,激增、猛增
げきだん,劇団,,0,劇團
げきれい,激励,,0,激勵
けさ,今朝,,1,今天早上、今晨
けしき,景色,,1,風景、景致
けしゴム,gom,オランダ語,0,橡皮擦
げしゃ,下車,,"0,1",下車
げしゅく（する）,下宿（する）,,0,公寓、宿舍
げじゅん,下旬,,0,下旬
けしょう,化粧,,2,化妝、打扮
けす,消す,,0,熄滅、關掉、抹去、關閉、解除
げすい,下水,,0,髒水、下水道
ゲスト,guest,,1,客人、嘉賓、客串演員
けずる,削る,,0,削、消減、刪去
けた,桁,,0,橫樑、位數
げた,下駄,,0,木屐
けだもの,獣,,0,獸、畜生
けち,吝,,1,吝嗇、簡陋、卑賤、心胸窄
けつ,決,,1,決定、決議
けつあつ,血圧,,0,血壓
けつい,決意,,1,決定
けつえき,血液,,2,血液
けっか,結果,,0,結果、結局、結果實
けっかく,結核,,0,結核
けっかん,欠陥,,0,缺陷、缺點
けっかん,血管,,0,血管
けつぎ,決議,,0,決議
げっきゅう,月給,,0,月薪、工資
けっきょく,結局,,0,結果、結局
けっこう,結構,名詞//な形容詞//副詞,"0,3//1//1",構造、結構//很好//相當
けっこう,決行,,0,決心、實行
けつごう,結合,,0,結合
けっこん（する）,結婚（する）,,0,結婚
けっさく,傑作,,0,傑作
けっさん,決算,,1,決算、清算
けっして,決して,,0,決對不
げっしゃ,月謝,,0,酬謝金、學費
けつじょ,欠如,,1,缺乏
けっしょう,決勝,,0,決賽、決勝負
けっしょう,結晶,,0,結果、結晶
けっしん,決心,,1,決心、決意
けっせい,結成,,0,結成、組成
けっせき,欠席,,0,缺席
けっそく,結束,,0,捆、束、團結
げっそり,げっそり,,3,驟然消瘦、掃興、厭膩
けつだん,決断,,0,果斷、決心
けってい,決定,,0,決定、確定
けってん,欠点,,3,缺點、不及格的分數
げっぷ,月賦,,0,按月付款
けつぼう,欠乏,,0,缺乏
げつまつ,月末,,0,月底
げつよう//げつ,月曜//月,,3//1,星期一
げつようび,月曜日,,3,星期一
けつろん,結論,,"0,2",結論
けとばす,蹴飛ばす,,"0,3",猛踢、嚴加拒絕
けなす,貶す,,0,貶低、毀謗
けはい,気配,,"1,2",跡象、神情、行情
げひん,下品,,2,下流、庸俗
けむい,煙い,,"0,2",(煙)嗆人
けむたい,煙たい,,"0,3",(煙)嗆人、使人侷促不安、使人發慌
けむり,煙,,0,煙霧、茶色
けむる,煙る,,0,冒煙、看不清楚、朦朧
けもの,獣,,0,獸
けらい,家来,,1,封建時代的家臣
げり,下痢,,0,腹瀉
ける,蹴る,,1,踢、拒絕
けれど//けれども,けれど//けれども,,1,然而、但是
けわしい,険しい,,3,險峻、可怕、險惡、困難、艱險
けん,県,,1,縣
けん,〜軒,,,棟、所
けん,券,,1,券、票
けん,〜権,,,權、權力
けん,件,,1,事、事件、件數
けん,〜圏,,,圏
げん,現〜,,1,現、現在的
けんい,権威,,1,權勢、威望、權威
げんいん,原因,,0,原因
けんか（する）,喧嘩（する）,,0,口角、爭吵、打架
けんかい,見解,,0,意見
げんかい,限界,,0,界限
けんがく,見学,,0,見習、考察
げんかん,玄関,,1,門口、房子的正門
げんき,元気,,1,元氣、精力、精神
けんきゅう（する）,研究（する）,,0,研究
けんきゅうしつ,研究室,,3,研究室
けんきょ,謙虚,,1,謙虛
けんぎょう,兼業,,0,兼營
げんきん,現金,,3,現款、貨幣、支票匯票、收現、付現、兌現
げんけい,原型・原形,,0,原形、未進化原來的形態
けんげん,権限,,3,權限
げんご,言語,,1,言語
けんこう,健康,,0,健康
げんこう,原稿,,0,原稿
げんこう,現行,,0,現行
けんさ,検査,,1,檢查
けんざい,健在,,0,健在、照常存在、現在時
げんざい,現在,,1,現在、目前、當時、截至、現世
げんさく,原作,,0,原著
げんさん,原産,,0,原料、製品的產地
けんじ,検事,,1,檢察官
げんし,原始,,1,原始
げんし,原子,,1,原子、原子彈
げんじつ,現実,,0,現實
げんしゅ,元首,,1,元首
けんしゅう,研修,,0,進修
げんじゅう,厳重,,0,嚴厲
げんしょ,原書,,0,原版本、西洋書籍
けんしょう,懸賞,,0,懸實
げんしょう,現象,,0,現象
げんしょう,減少,,0,減少、縮減
げんじょう,現状,,0,現狀
けんせつ,建設,,0,建設、創立
けんぜん,健全,,0,健全、正常、堅實
げんそ,元素,,1,元素
げんぞう,現像,,0,顯像
げんそく,原則,,0,原則
けんそん,謙遜,,0,謙恭、謙遜
げんだい,現代,,1,現代、當代
けんち,見地,,1,觀點、立場、檢查建築用地
げんち,現地,,1,現場、現居住的地方
けんちく,建築,,0,建築
けんちょう,県庁,,1,縣政府
げんてい,限定,,0,限定
げんてん,減点,,0,扣分
げんてん,原典,,1,原著、原本
げんてん,原点,,1,起點、座標的原點
げんど,限度,,1,限度、範圍、界限
けんとう,検討,,0,討論
けんとう,見当,,3,猜測、判斷
げんに,現に,,1,實際、現在、親眼
げんば,現場,,0,現場
げんばく,原爆,,0,原子彈
けんびきょう,顕微鏡,,0,顯微鏡
けんぶつ（する）,見物（する）,,0,觀光、遊覽
げんぶん,原文,,0,原文
けんぽう,憲法,,1,憲法
げんみつ,厳密,,0,嚴密、嚴格
けんめい,懸命,,0,拚命、竭盡全力
けんめい,賢明,,0,賢明、明智、高明
けんやく,倹約,,0,節約、節省
げんゆ,原油,,0,原油
けんよう,兼用,,0,兼用、兩用
けんり,権利,,1,權利
げんり,原理,,1,原理
げんりょう,原料,,3,原料
けんりょく,権力,,1,權力
げんろん,言論,,0,言論
こ,〜個,,,幾個
こ,子,,0,小孩、兒女、子
こ,〜湖,,,湖
ご,五,,1,五、第五個
ご,〜語,,,語
ご,碁,,1,圍棋
ご,語,,1,語言、語、單詞
ご,後,,"0,1",以後
こ〜,小,,,小、微小、稍微、差不多
こ〜,故,,1,已故的
ご〜,御〜,,,表示尊敬、表示謙遜
こい,濃い,,1,深、濃、烈、密稠、親密
こい,恋,,1,戀愛、愛情
ごい,語彙,,1,詞彙、語彙
こいしい,恋しい,,3,親愛的、眷戀
こいする,恋する,,3,戀愛
こいびと,恋人,,0,情人
こう,こう,指示詞,0,如此、這麼
こう,〜校,,,校
こう,〜港,,,港
こう,甲,,1,鎧甲、甲殼、盔甲、表面、第一位、甲
こう,〜光,,,光
ごう,〜号,,,號
こう〜,高〜,,1,高
こうい,好意,,1,好意、善意
こうい,行為,,1,行為、舉止
ごうい,合意,,1,同意、達成協議
こういん,工員,,0,工人
ごういん,強引,,0,強行、強制
こううん,幸運,,0,僥倖、幸運
こうえき,交易,,0,交易、貿易
こうえん,公園,,0,公園
こうえん,講演,,0,講演、演說
こうえん,公演,,0,公演
こうか,高価,,1,高價
こうか,硬貨,,1,硬幣
こうか,効果,,1,效果、成績
ごうか,豪華,,1,豪華
こうかい,公開,,0,公開、開放
こうかい,後悔,,1,後悔
こうかい,航海,,1,航海
こうがい,郊外,,1,郊外
こうがい,公害,,0,公害
こうがく,工学,,0,工學
ごうかく,合格,,0,及格
こうかん,交換,,0,交換、交易
こうぎ,講義,,"0,3",講課、講義、講解
こうぎ,抗議,,1,抗議
ごうぎ,合議,,1,協議
こうきゅう,高級,,0,高級
こうきょ,皇居,,1,皇宮
こうきょう,公共,,0,公共
こうきょう,好況,,0,繁榮、景氣
こうぎょう,工業,,1,工業
こうぎょう,興業,,0,振興事業
こうぎょう,鉱業,,1,礦業
こうくう,航空,,0,航空
こうけい,光景,,0,景象、情景、光景、情況、樣子
こうげい,工芸,,"0,1",工藝
ごうけい,合計,,0,合計
こうげき,攻撃,,0,攻擊、責備、擊球
こうけん,貢献,,0,貢獻
こうげん,高原,,0,高原
こうご,交互,,1,交替
こうこう,孝行,,1,孝順
こうこう//こうとうがっこう,高校//高等学校,,0//5,高中
こうこうせい,高校生,,3,高中生
こうこうと,煌々と,,0,煌煌
こうこがく,考古学,,3,考古學
こうこく,広告,,0,廣告
こうさ,交差,,"0,1",交叉
こうさい,交際,,0,交際
こうさく,工作,,0,製作
こうさく,耕作,,0,耕作
こうさてん,交差点,,"0,3",十字路口
こうざん,鉱山,,1,礦山
こうし,講師,,1,教師、講師
こうじ,工事,,1,工程
こうしき,公式,,0,正式、公式
こうじつ,口実,,0,藉口
こうして,こうして,接続詞,0,這樣
こうしゃ,後者,,1,後者
こうしゃ,校舎,,1,校舍
こうしゅう,公衆,,0,民眾
こうしゅう,講習,,0,講習
こうじゅつ,口述,,0,口述
こうじょ,控除,,1,扣除
こうしょう,交渉,,0,交涉
こうしょう,高尚,,0,高尚
こうじょう,工場,,"0,3",工廠
こうじょう,向上,,0,進步
こうしん,行進,,0,進行
こうしんりょう,香辛料,,3,香辣調料
こうすい,香水,,0,香水
こうすい,降水,,0,降雨
こうずい,洪水,,0,洪水
こうせい,構成,,0,組成、組織
こうせい,公正,,0,公平
ごうせい,合成,,0,合成
こうせき,功績,,0,功績
こうせん,光線,,0,光線
こうぜん,公然,,0,公開、公然
こうそう,高層,,0,高層
こうそう,抗争,,0,抗爭
こうそう,構想,,0,構思
こうぞう,構造,,0,構造、結構
こうそく,高速,,0,快速
こうそく,拘束,,0,束縛、拘留、拘束
こうたい,交替,,0,交替
こうたい,後退,,0,倒退、後退、衰退
こうたい,交代,,0,交替、替換、輪流
こうたく,光沢,,0,光澤
こうだん,公団,,0,公團
こうち,耕地,,1,農地
こうちゃ,紅茶,,0,紅茶
こうちょう,校長,,0,中小學校長
こうちょう,好調,,0,順利
こうつう,交通,,0,交通
こうつうきかん,交通機関,,5,交通工具
こうてい,肯定,,0,肯定
こうてい,校庭,,0,操場
こうど,高度,,1,高度
こうとう,高等,,0,上等
こうとう,口頭,,0,口頭
こうどう,講堂,,0,大禮堂
こうどう,行動,,0,行動
ごうとう,強盗,,0,強盜
ごうどう,合同,,0,聯合
こうどく,講読,,0,講讀、講解
こうどく,購読,,0,訂購、購讀
こうにゅう,購入,,0,購買
こうにん,公認,,0,公認
こうねつひ,光熱費,,4,煤氣費
こうば,工場,,0,工廠
こうはい,後輩,,0,後輩
こうはい,荒廃,,0,荒廢
こうばい,購買,,0,購買
こうはん,後半,,0,後半部、後一半
こうばん,交番,,0,派出所
こうひょう,公表,,0,公佈
こうひょう,好評,,0,好評
こうふ,交付,,"0,1",交給
こうふく,幸福,,0,幸福
こうふく,降伏,,0,投降
こうぶつ,鉱物,,"0,1",礦物
こうふん,興奮,,0,興奮
こうへい,公平,,0,公平
こうほ,候補,,1,候補、候補人
こうぼ,公募,,0,微集、招募
こうみょう,巧妙,,0,巧妙
こうむ,公務,,1,公務、公事
こうむいん,公務員,,3,公務員
こうもく,項目,,0,項目、索引
こうよう,紅葉,,0,紅葉、霜葉
こうよう,公用,,0,公用、公事、公務
こうり,小売,,0,小賣、零售
ごうり,合理,,1,合理
こうりつ,公立,,0,公立
こうりつ,効率,,0,效率
こうりゅう,交流,,0,交流、交變電流
ごうりゅう,合流,,0,合流、滙合、聯合、合併
こうりょ,考慮,,1,考慮
こうりょく,効力,,1,效力、效果
こえ,声,,1,人的聲音、意見
ごえい,護衛,,0,護衛、警衛
こえる,越える、超える,,0,過、度過、超過、超越、越過、跳過
ごえんりょなく。,御遠慮なく。,挨拶語,5,不用客氣
コース,course,,1,路線、課程
コーチ,coach,,1,教練、指導
コード,cord/code/chord,,1,軟電線//暗碼、規則、暗號//和弦
コート(coat),coat,,1,外套、大衣
コート(court),court,,1,場地
コート(overcoat),overcoat,,1,外套
コーナー,corner,,1,角落、角、園區
コーヒー,koffie,オランダ語,3,咖啡
コーラス,chorus,,1,合唱(團)
こおり,氷,,0,冰
こおる,凍る,,0,結冰、凍結
ゴール,goal,,1,終點、目的地
ごかい,誤解,,0,誤解、誤會
ごがく,語学,,"0,1",外語、語言學
こがす,焦がす,,2,烤糊、烤焦
こがら,小柄,,0,身材短小、小花、碎花紋
こぎって,小切手,,2,支票
こきゅう,呼吸,,0,呼吸、步調、拍子、竅門、要領
こきょう,故郷,,1,故鄉、家鄉
こく,〜国,,0,〜國
こぐ,漕ぐ,,1,划(船)、搖(櫓)、踩(自行車)、燙(鞦韃)
ごく,極,,1,極(其)、最
ごく,語句,,1,語句、語、詞
こくおう,国王,,"2,3",國王
こくご,国語,,0,國語、本國語言、(學科)國語、標準語
こくさい,国際,,0,國際
こくさん,国産,,0,國產
こくせき,国籍,,0,國籍
こくてい,国定,,0,國家規定、國家審定
こくど,国土,,1,國土、領土
こくはく,告白,,0,坦白、自白
こくばん,黒板,,0,黑板
こくふく,克服,,0,克服、征服
こくぼう,国防,,0,國防
こくみん,国民,,0,國民
こくもつ,穀物,,2,穀物、糧食
こくゆう,国有,,0,國有
ごくらく,極楽,,"0,4",極樂、安樂、無憂無慮
こくりつ,国立,,0,國立
こくれん,国連,,0,聯合國
ごくろうさま。,御苦労様。,挨拶語,2,辛苦了
こげちゃ,焦げ茶,,2,深褐色、深咖啡色
こげる,焦げる,,2,糊、烤焦
ごげん,語源,,0,語源
ここ,此処,指示詞,0,這裡、這個時候
ここ,個々,,1,每個
ごご,午後,,1,下午
こごえる,凍える,,0,凍僵
ここち,心地,,0,感覺、心情
ここのか,九日,,4,九日、九天、九號
ここのつ,九つ,,2,九個、九歲
こころ,心,,"0,2",心胸、心情、心、精神、真心、衷心、誠心、想法、心思、意志、關懷、體諒、人情、風格特色
こころあたり,心当たり,,4,猜想、線索
こころえ,心得,,3,素養、經驗、規則、須知、代理、精神準備
こころえる,心得る,,4,領會、理解、同意、答應、(技藝等)有經驗
こころがけ,心掛け,,"0,5",留意、留心
こころがける,心掛ける,,5,留心、留意
こころざし,志,,"0,5",志、志願、意圖、厚意、盛情、(表示心意的)小意思
こころざす,志す,,4,立志
こころづよい,心強い,,5,膽子壯、有信心
こころぼそい,心細い,,5,擔心、膽怯
こころみ,試み,,"3,4",嘗試
こころみる,試みる,,4,試試、嘗試、試看看
こころよい,快い,,4,愉快、高興、病情轉好
ごさ,誤差,,"0,1",誤差、差錯
ございます,〜御座居ます,,4,〔敬語〕在、有
ございます。,御座います。,挨拶語,4,〔敬語〕有
こし,腰,,0,腰、腰身
こじ,孤児,,1,孤兒
こしかけ,腰掛,,"3,4",椅子、暫時棲身之處
ごじゅうおん,五十音,,2,五十音
こしょう,胡椒,,2,胡椒
こしょう（する）,故障（する）,,0,故障
こしらえる,拵える「作る」,,"0,5",製造、虛構、籌措
こじれる,拗れる,,3,（事態）複雜、（病）嚴重
こじん,個人,,1,個人
こじん,故人,,1,已故的人、死者
こす,越す「引っ越す」,,0,遷居
こす,越す．超す,,"0,2",超過、勝於、度過
こす,濾す「水をこす」,,0,過濾
こずえ,梢,,0,樹梢
こする,擦る,,2,摩擦、揉、搓、蹭
こせい,個性,,1,個性
こせき,戸籍,,0,戶口、戶籍
こぜに,小銭,,0,零（用）錢
ごぜん,午前,,1,上午
ごぞんじ,御存知,,2,你知道、你認識
ごぞんじですか。,御存知ですか。,挨拶語,2,您知道嗎
こたい,固体,,0,固體
こだい,古代,,1,古體、古式、古詩體
こたえ,答え,,2,回答、答覆、（問題的）答案
こたえる,答える,,"2,3",答覆、報答
こたつ,火燵,,0,（取暖用的）暖爐、被爐
こだわる,拘る,,3,拘泥於
ごちそう,御馳走,,0,盛宴、款待
ごちそうさま（でした）。,御馳走様（でした）。,挨拶語,"0,6(7)",多謝您的款待、我已經吃飽了
こちょう,誇張,,0,誇張、誇大
こちら,こちら,,0,這裡、這邊、這位、這方面、我們
こちらこそ。,こちらこそ。,挨拶語,4,哪兒的話、不敢當
こつ,こつ（〜をつかむ）,,"0,2",抓住（要領、竅門、秘訣）
こっか,国家,,1,國家
こっかい,国会,,0,國會、議會
こづかい,小遣い,,1,零用錢
こっきょう,国境,,0,國境、邊界
コック,kok,オランダ語,1,廚師
こっけい,滑稽,,0,滑稽、可笑、荒唐
こっこう,国交,,0,邦交
こっせつ,骨折,,0,骨折
こっそり,こっそり,,3,悄悄地、偷偷地、暗暗地
こっち,こっち,,3,這邊、這裡、這方面、我們、這位
こづつみ,小包,,2,小包裏、郵寄的包裏
こっとうひん,骨董品,,0,古董品
コップ,kop,オランダ語,0,杯子
こてい,固定,,0,固定
こてん,古典,,0,古典
こと,事,,2,事情、情況、（談話的）內容
こと,琴,,1,琴
ごと,〜毎,,,每
ごと,〜ごと「まるごと」,,,連…一起、連同、全部地
ことがら,事柄,,"0,3,4",事情、事體、情況
こどく,孤独,,0,孤獨、孤單
ことごとく,悉く,,3,盡悉、全部、一切
ことし,今年,,0,今年
ことづける,言付ける,,4,託付、託帶口信
ことづて,言伝,,"0,4",傳說、間接聽來的、捎口信
ことなる,異なる,,3,不同、不一樣
ことに,殊に,,1,特別、異常、例外
ことによると,事に依ると,,"0,5,6",可能、說不定、也許、碰巧
ことば,言葉,,3,詞、話、語言
ことばづかい,言葉遣い,,4,說話、措詞、表達
こども,子供,,0,孩子、兒童
ことり,小鳥,,0,小鳥
ことわざ,諺,,"0,4",諺語
ことわる,断る,,3,事先說好、謝絕、拒絕
こな//こ,粉,,2//1,粉末
こないだ,こないだ,,4,近來、前些天
こなごな,粉々,,0,粉碎、粉末
この,此の,指示詞,0,這、這個
このあいだ,此の間,,"0,5",前些時候、前幾天、最近
このごろ,此の頃,,"0,2",近來
このましい,好ましい,,4,令人喜歡、滿意
このみ,好み,,1,愛好、嗜好
このむ,好む,,2,愛好、喜歡
ごはん,御飯,,1,飯
ごばん,碁盤,,0,圍棋盤
コピー（する）,copy,,1,拷貝、複製、副本
ごぶさた,御無沙汰,,0,久未問候
こべつ,個別,,0,個別
こぼす,零す、溢す,,2,弄翻、溢出
こぼれる,零れる,,3,溢出、灑出、洋溢
コマーシャル,commercial,,2,(電視)商業廣告、商務的
こまかい,細かい,,3,細的、詳細的
ごまかす,誤魔化す,,3,敷衍
こまやか,細やか、濃やか,,2,深濃、深厚
こまる,困る,,2,為難、難辦
ごみ,塵、芥,,2,垃圾、灰塵
コミュニケーション,communication,,4,傳達、報導
こむ,込む、混む,,1,擁擠、費工夫
こむ,〜込む,,,進入
ゴム,gom,オランダ語,1,橡皮
こむぎ,小麦,,"0,2",小麥
こめ,米,,2,米
こめる,込める,,2,裝填、集中
ごめん,御免,,0,拒絕、免職
ごめんください。,御免下さい。,挨拶語,6,有人在嗎？
コメント,comment,,"0,1",評論、注釋
ごめんなさい。,御免なさい。,挨拶語,5,對不起
こもる,籠もる,,2,充滿
こや,小屋,,0,簡陋的房子
こゆう,固有,,0,固有、特有
こゆび,小指,,0,小指、情婦
こよう,雇用,,0,僱用
こよみ,暦,,3,日曆
こらえる,堪える,,3,忍耐
ごらく,娯楽,,0,娛樂
こらす,凝らす,,2,集中
ごらん,御覧,,0,〔敬〕看
ごらんなさい。,御覧なさい。,挨拶語,0,〔敬〕請看
ごらんになる,ご覧になる,,5,〔尊敬語〕看、觀覽
こりつ,孤立,,0,孤立
こりる,懲りる,,2,接受了〜的教訓
こる,凝る,,1,凝固、熱衷
これ,此れ、是,,0,此、這
これから,此れから,,"0,4",從今以後
コレクション,collection,,2,收藏(品)
これら,此れ等,,2,這些
ころ//ごろ,〜頃,,,時候、時期
ころがす,転がす,,0,滾、推動、弄倒
ころがる,転がる,,0,滾、倒了、弄倒
ころす,殺す,,0,殺、忍住、消除
ころぶ,転ぶ,,0,跌倒、滾轉
こわい,怖い,,2,可怕的
こわす,壊す,,2,毀壞、弄壞、破壞
こわれる,壊れる,,3,壞掉、故障、失敗
こん,紺,,1,藏青、深藍
こん,今〜,,1,現在
こんかい,今回,,1,此次、這回
こんき,根気,,0,耐性、毅力
こんきょ,根拠,,1,根據
コンクール,concours,フランス語,3,表演賽、競演會、比賽(會)
コンクリート,concrete,,4,混凝土
こんけつ,混血,,0,混血
こんげつ,今月,,0,這個月
こんご,今後,,0,今後、以後
こんごう,混合,,0,混合
コンサート,concert,,"1,3",演唱會、音樂會
こんざつ,混雑,,1,混雜、擁擠
こんしゅう,今週,,0,這星期
コンセント,concentric+plug,和製英語,"1,3",插座、插口
コンタクト（レンズ）,contactlens,,"1,3[6]",隱形眼鏡
こんだて,献立,,"0,4",菜單、準備
こんちゅう,昆虫,,0,昆蟲
こんてい,根底,,0,根底、基礎
コンテスト,contest,,1,比賽、選拔會
こんど,今度,,1,這一次、下一次
こんど,今度,,1,下次
こんどう,混同,,0,混淆
コントラスト,contrast,,"1,4",對照
コントロール,control,,4,控制、調節
こんな,こんな,指示詞,0,這樣的
こんなに,こんなに,,0,這樣的
こんなん,困難,,1,因難
こんにち,今日,,1,今日
こんにちは。,今日は。,挨拶語,5,您好
コンパス,kompas,オランダ語,1,圓規、指南針
こんばん,今晩,,1,今晚、今夜
こんばんは。,今晩は。,挨拶語,5,晚上好
コンピューター//コンピュータ,computer,,3,電腦
こんぽん,根本,,0,根本、基礎
こんや,今夜,,1,今夜、今晚
こんやく,婚約,,0,婚約
こんらん,混乱,,0,混亂
さ,差,,0,差別、差距
さ,さ,感動詞,0,感嘆詞“さあ”的輕呼
さあ,さあ,感動詞,1,喂（用於勸誘，催促時）、呀（用於躊躇，遅疑時）、啊（用於喜悦，驚訝）
サークル,circle,,"0,1",小組、社團、團體、圓圈
サービス,service,,1,服務、接待
さい,〜歳,,,幾歲
さい,際,,1,際、時
さい,〜祭,,,祭
ざい,財,,1,金錢、財富
さい〜,再〜,,,再、重新
さい〜,最〜,,,最
さいかい,再会,,0,再次見面
さいがい,災害,,0,災害
ざいがく,在学,,0,在學
さいきん,最近,,0,最近、近來
さいきん,細菌,,0,細菌
さいく,細工,,"0,3",精緻的手工藝
さいくつ,採掘,,0,採掘、開採
サイクル,cycle,,1,周期
さいけつ,採決,,"0,1",表決
さいけん,再建,,0,重建、重修
さいげん,再現,,0,再現、復現
ざいげん,財源,,"0,3",財源
さいご,最後,,1,最後、最終
ざいこ,在庫,,0,庫存
さいこう,最高,,0,最高
さいさん,再三,,0,再三
さいさん,採算,,0,核算
ざいさん,財産,,1,財產
さいじつ,祭日,,0,祭日
さいしゅう,最終,,0,最終
さいしゅう,採集,,0,採集
さいしょ,最初,,0,最初、開始
サイズ,size,,1,尺寸
さいせい,再生,,0,重生、復活
ざいせい,財政,,0,財政
さいぜん,最善,,0,最好
さいそく,催促,,1,催促
さいたく,採択,,0,選定、採納
さいちゅう,最中,,1,正在…之中、最盛、最高潮時
さいてい,最低,,0,最低
さいてん,採点,,0,評分
さいなん,災難,,3,災難
さいのう,才能,,0,才能
さいばい,栽培,,0,栽培
さいはつ,再発,,0,復發
さいばん,裁判,,1,審判、審理
さいふ,財布,,0,錢包
さいほう,裁縫,,0,裁縫
さいぼう,細胞,,0,細胞
ざいもく,材木,,0,木材
さいよう,採用,,0,採用
ざいりょう,材料,,3,材料
サイレン,siren,,1,警笛
さいわい,幸,,0,幸運、幸福
サイン,sign,,1,簽名、記號
さえぎる,遮る,,3,遮、遮擋、遮掩、遮蔽、遮斷、打斷、攔截、抗拒、阻擋
さえずる,囀る,,3,(鳥)鳴、叫、囀
さえる,冴える,,2,鮮明、(聲音)清脆、精巧、清醒、清寒
さお,竿,,2,竹竿、竿子、杠子
さか,坂,,2,坡、斜坡
さかい,境,,2,界線、界限、疆界、分界、分水嶺、境地、境界、關頭
さかえる,栄える,,"2,3",興盛、繁榮、興旺
さがく,差額,,0,差額
さかさ,逆さ,,0,倒、顛倒、相反
さかさま,逆様,,0,倒、逆、顛倒
さがす,探す、捜す,,0,尋找、尋求
さかずき,杯,,4,酒杯、交杯結盟
さかだち,逆立ち,,0,倒立、顛倒
さかな,魚,,0,魚、餘類
